time,x,y,z
2,-0.05984,1.23303,9.93414
53,-0.09814,1.27133,9.89584
102,0.05508,1.30965,9.47446
152,-0.02153,1.30965,9.35954
202,0.13170,1.84595,9.32123
255,-1.05583,1.61610,10.70029
304,-0.59615,1.42456,10.39383
353,-0.44292,2.34393,9.66600
429,-0.44292,2.34393,9.66600
453,0.20831,3.26331,8.47847
502,-0.82599,2.65039,9.58939
552,-0.82599,2.65039,9.58939
602,-0.71106,2.68871,9.43616
653,-1.24736,1.96086,10.04907
702,-0.48122,2.26732,9.51277
756,-0.78767,2.34393,9.70430
805,-0.44292,2.72701,8.70831
853,-1.70705,3.26331,8.97647
902,-2.28166,3.22501,9.62769
953,-2.12843,3.18669,8.89986
1002,-1.09413,3.18669,9.47446
1053,-1.24736,1.34795,10.70029
1106,0.13170,2.03748,9.97246
1153,1.66399,2.30563,9.51277
1202,1.35753,2.72701,8.59340
1253,5.83948,2.42055,9.78091
1302,2.54506,2.34393,10.31721
1353,3.42612,3.56976,7.67403
1410,5.57132,0.39027,8.05710
1457,5.87778,0.81165,9.81923
1502,4.53703,0.08382,9.66600
1572,6.87376,-1.29526,7.75064
1603,6.72054,-3.86183,11.27490
1652,3.38782,1.42456,10.20230
1702,4.53703,1.76933,5.79697
1757,1.12769,3.56976,11.65797
1806,3.04305,3.03346,9.43616
1852,-2.58812,2.61209,10.08737
1903,1.47246,3.30162,10.54706
1954,-0.21307,4.14438,7.48248
2003,2.16199,3.45485,6.63972
2056,3.57935,3.76131,6.18004
2102,5.34148,1.34795,6.02681
2153,6.56731,-1.29526,8.09540
2202,4.57533,-1.29526,15.02901
2254,1.89383,-0.56741,19.08957
2303,5.83948,-0.37589,10.39383
2351,4.15396,1.27133,13.87979
2406,0.82123,2.30563,8.78493
2453,3.00475,2.91855,3.69006
2502,-0.86429,4.60406,4.11145
2553,3.04305,2.91855,11.00674
2602,0.85954,6.05974,15.45039
2652,1.85553,3.30162,15.48869
2702,7.29515,3.45485,3.72838
2753,5.64793,-2.71262,4.83928
2802,2.69829,0.12212,3.30699
2853,5.60963,-2.13802,4.87759
2902,4.72856,2.99516,17.48067
2952,0.82123,4.56575,11.73459
3004,-1.17075,-1.90817,2.23439
3052,-1.78366,-4.85782,-2.24756
3102,-7.72128,-4.51306,-6.07828
3153,-4.69501,-0.72064,-6.72949
3202,-25.18938,8.66463,-1.67294
3254,-28.10072,11.61429,2.61746
3302,-27.14305,13.10826,13.19026
3352,1.43414,11.84413,2.61746
3414,8.82744,12.18889,4.57114
3452,8.82744,12.18889,4.57114
3501,8.82744,12.18889,4.57114
3552,-19.25175,8.47310,12.80719
3601,-15.22951,-2.78923,9.39784
3652,-13.54398,-4.01506,7.02280
3702,-4.38855,-9.68454,-0.48543
3753,-2.09012,-15.73708,-6.00166
3802,-9.56003,-10.25914,-3.85646
3852,-38.02231,0.12212,-4.85245
3902,-40.78043,2.72701,-4.50768
3960,-40.78043,2.72701,-4.50768
4002,-9.59834,15.52162,6.25665
4052,-9.59834,15.52162,6.25665
4109,-9.59834,15.52162,6.25665
4166,-9.59834,15.52162,6.25665
4297,-9.59834,15.52162,6.25665
4298,-9.59834,15.52162,6.25665
4332,-9.59834,15.52162,6.25665
4356,-9.59834,15.52162,6.25665
4423,-9.59834,15.52162,6.25665
4456,-10.74756,-8.15225,0.70210
4504,-8.87050,13.87440,-0.71527
4554,-4.58009,13.68288,0.81703
4603,1.31923,5.79158,0.28073
4655,-0.25137,2.42055,-0.83018
4702,2.58336,0.42857,1.39163
4752,1.77892,4.94882,2.27271
4802,1.97044,14.75548,5.56712
4852,-2.28166,23.25969,7.29094
4902,-2.28166,23.25969,7.29094
4953,-2.28166,23.25969,7.29094
5001,-2.28166,23.25969,7.29094
5052,0.05508,-2.32954,-5.50366
5104,-7.22330,4.29761,-0.06404
5154,-7.22330,4.29761,-0.06404
5204,-7.22330,4.29761,-0.06404
5254,-7.22330,4.29761,-0.06404
5302,-0.51953,3.14839,-2.78386
5352,-0.51953,3.14839,-2.78386
5409,-0.51953,3.14839,-2.78386
5453,-0.51953,3.14839,-2.78386
5502,-0.51953,3.14839,-2.78386
5552,-0.51953,3.14839,-2.78386
5602,-2.77965,4.25929,-5.15891
5654,0.93616,-2.13802,1.62148
5702,-0.51953,-0.87387,6.06511
5752,-0.51953,-0.87387,6.06511
5806,-0.51953,-0.87387,6.06511
5853,-0.51953,-0.87387,6.06511
5903,-0.51953,-0.87387,6.06511
5952,6.26085,-5.01105,3.76668
6002,-1.09413,0.19873,2.54085
6059,-4.35025,5.90651,-1.28987
6102,10.66618,19.62050,6.25665
6157,-7.14668,25.67303,1.27672
6255,0.17000,22.30200,-2.74554
6266,0.17000,22.30200,-2.74554
6303,0.17000,22.30200,-2.74554
6400,0.17000,22.30200,-2.74554
6452,0.17000,22.30200,-2.74554
6454,0.17000,22.30200,-2.74554
6502,0.17000,22.30200,-2.74554
6553,1.47246,6.97911,0.12750
6602,1.47246,6.97911,0.12750
6652,2.23860,4.25929,1.42995
6702,5.80116,5.82990,-2.32417
6753,8.71252,17.09222,4.14975
6803,9.82343,16.63254,1.42995
6852,-5.38454,9.31586,0.74042
6902,1.66399,-5.24089,4.53282
6952,-16.64687,3.60808,3.26869
7002,2.77490,5.33189,-8.52994
7052,-12.27985,25.51981,-0.67696
7102,-13.69720,23.48953,-10.33038
7155,-13.69720,23.48953,-10.33038
7202,3.69427,-5.93042,-1.02173
7253,6.72054,-1.98479,2.73239
7303,2.92813,6.40450,-2.74554
7352,10.39804,20.96124,6.33327
7412,-2.97119,25.90288,-5.31213
7452,-3.62241,8.89447,-2.09433
7506,0.78293,-4.55136,2.23439
7552,-4.77162,0.69673,8.32524
7602,-0.05984,-0.41418,-0.90680
7652,6.06932,14.79378,-2.66893
7702,-15.99565,32.75987,-4.89075
7752,-3.58411,15.55994,7.40587
7802,7.48668,-5.89212,3.88161
7852,3.92412,-5.20259,-0.37050
7902,1.05107,5.33189,2.61746
7952,13.65414,15.02362,-4.73752
8002,-6.34222,30.04005,1.62148
8053,-1.24736,17.59021,-0.14066
8102,4.07735,-0.33757,3.34531
8151,-3.12442,-0.52911,4.41791
8202,-3.92886,-0.98880,-0.60034
8252,8.67421,9.66061,-2.09433
8302,-13.77382,25.82626,1.12349
8352,-7.45314,23.64276,-6.11658
8411,3.31120,5.21698,4.72437
8454,4.46042,-7.57764,-2.86047
8502,0.62968,0.92657,4.68605
8552,3.27289,6.78757,-2.97539
8601,-3.85225,20.80801,3.53683
8652,-0.25137,28.04808,0.20412
8702,-0.97922,6.90250,-2.01772
8753,4.38380,-7.27118,3.80499
8802,-10.97740,4.48914,3.42192
