time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
435,8,3549,28.0,-9223372036854775808,996581,0
1411,8,3549,28.0,-9223372036854775808,985351,0
2407,8,3549,28.0,-9223372036854775808,964354,0
3415,8,3549,28.0,-9223372036854775808,964354,0
4424,8,3549,28.0,-9223372036854775808,922851,0
5411,8,3549,28.0,-9223372036854775808,1008300,0
6452,8,3549,28.0,-9223372036854775808,1008300,0
7412,8,3549,28.0,-9223372036854775808,985351,0
8415,8,3549,28.0,-9223372036854775808,806640,0
9439,8,3549,28.0,-9223372036854775808,806640,0
10427,8,3549,28.0,-9223372036854775808,1014159,0
11437,8,3549,28.0,-9223372036854775808,999022,0
12459,8,3549,28.0,-9223372036854775808,999022,0
13462,8,3549,28.0,-9223372036854775808,885253,0
14463,8,3549,28.0,-9223372036854775808,676757,0
15528,8,3549,28.0,-9223372036854775808,676757,0
16507,8,3549,28.0,-9223372036854775808,892577,0
17517,8,3549,28.0,-9223372036854775808,670409,0
18512,8,3549,28.0,-9223372036854775808,674804,0
19511,8,3549,28.0,-9223372036854775808,674804,0
20510,8,3549,28.0,-9223372036854775808,703124,0
21518,8,3578,26.7,-9223372036854775808,874022,0
22562,8,3578,26.7,-9223372036854775808,874022,0
23563,8,3578,26.7,-9223372036854775808,645507,0
24616,8,3578,26.7,-9223372036854775808,666503,0
25613,8,3578,26.7,-9223372036854775808,666503,0
26611,8,3578,26.7,-9223372036854775808,749999,0
27613,8,3578,26.7,-9223372036854775808,669921,0
28663,8,3578,26.7,-9223372036854775808,669921,0
29663,8,3578,26.7,-9223372036854775808,662597,0
30665,8,3578,26.7,-9223372036854775808,650390,0
31668,8,3578,26.7,-9223372036854775808,643066,0
32714,8,3578,26.7,-9223372036854775808,643066,0
33713,8,3578,26.7,-9223372036854775808,599120,0
34720,8,3578,26.7,-9223372036854775808,596191,0
35763,8,3578,26.7,-9223372036854775808,596191,0
36768,8,3578,26.7,-9223372036854775808,596191,0
37769,8,3578,26.7,-9223372036854775808,583495,0
38763,8,3578,26.7,-9223372036854775808,583495,0
39766,8,3578,26.7,-9223372036854775808,618163,0
40817,8,3578,26.7,-9223372036854775808,581542,0
41819,8,3578,26.7,-9223372036854775808,581542,0
42868,8,3578,26.7,-9223372036854775808,650390,0
43863,8,3578,26.7,-9223372036854775808,649413,0
44866,8,3578,26.7,-9223372036854775808,601073,0
45922,8,3578,26.7,-9223372036854775808,601073,0
46913,8,3578,26.7,-9223372036854775808,604491,0
47923,8,3578,26.7,-9223372036854775808,675292,0
48967,8,3578,26.7,-9223372036854775808,675292,0
50012,8,3578,26.7,-9223372036854775808,578612,0
51059,8,3578,26.7,-9223372036854775808,854980,0
52065,8,3578,26.7,-9223372036854775808,854980,0
53069,8,3578,26.7,-9223372036854775808,589355,0
54060,8,3578,26.7,-9223372036854775808,586913,0
55068,8,3578,26.7,-9223372036854775808,594237,0
56119,8,3578,26.7,-9223372036854775808,594237,0
57127,8,3578,26.7,-9223372036854775808,576659,0
58117,8,3578,26.7,-9223372036854775808,981933,0
59119,8,3578,26.7,-9223372036854775808,981933,0
60164,8,3578,26.7,-9223372036854775808,886718,0
61166,8,3578,26.7,-9223372036854775808,895019,0
