time,azimuth
2,-14
55,-14
102,-16
153,-15
202,-9
256,-25
305,-23
353,-18
434,-18
453,-6
503,-17
552,-17
602,-16
654,-29
702,-21
757,-21
806,-19
854,-20
903,-26
954,-34
1002,-31
1053,-60
1106,-47
1153,-48
1203,-55
1253,-34
1302,-62
1353,-21
1410,-47
1461,-47
1503,-60
1572,-55
1603,-70
1653,-73
1703,-22
1757,-58
1806,-32
1853,-104
1903,-52
1954,-41
2003,-28
2056,-15
2102,-30
2153,-56
2203,-66
2254,-79
2304,-42
2352,-47
2407,-38
2453,8
2502,75
2553,-38
2602,-43
2652,-60
2703,11
2753,-68
2803,-37
2854,-61
2903,-54
2952,-51
3004,-73
3052,3
3103,33
3153,46
3203,-163
3255,-79
3302,-44
3353,-16
3415,-17
3453,-17
3502,-17
3553,-68
3602,-48
3652,-48
3702,19
3753,34
3802,32
3853,92
3902,92
3960,92
4002,-23
4053,-23
4158,-23
4166,-23
4297,-23
4298,-23
4332,-23
4356,-23
4423,-23
4457,8
4504,-28
4555,-18
4603,-8
4655,26
4703,-56
4752,-13
4802,-21
4852,-27
4902,-27
4953,-27
5002,-27
5052,51
5108,174
5154,174
5205,174
5254,174
5302,42
5352,42
5411,42
5453,42
5502,42
5552,42
5602,73
5654,-14
5702,-60
5752,-60
5806,-60
5853,-60
5903,-60
5952,-90
6003,-61
6060,-173
6103,-25
6157,-50
6258,-3
6270,-3
6303,-3
6401,-3
6452,-3
6454,-3
6502,-3
6553,-29
6602,-29
6652,-39
6702,7
6753,-39
6803,-33
6852,8
6902,-50
6952,-90
7002,52
7052,-47
7102,44
7156,44
7202,94
7261,-94
7304,5
7352,-34
7412,4
7452,4
7506,-39
7555,-65
7602,67
7652,17
7702,-142
7753,-58
7802,-127
7853,136
7902,-52
7952,17
8003,-57
8053,20
8103,-54
8152,-63
8202,-25
8252,18
8302,-71
8352,53
8413,-34
8454,101
8503,-68
8553,20
8602,-40
8653,-6
8702,21
8753,-101
8803,-99
8853,30
8903,-63
8952,56
9002,-9
9055,-158
9102,-68
9153,127
9205,-2
9256,-16
9305,62
9354,-51
9439,-69
9454,107
9503,-29
9556,98
9602,28
9653,-46
9703,-90
9752,-38
9801,72
9852,-20
9904,-3
9952,17
10002,-63
10052,-70
10103,65
10152,31
10203,-83
10252,47
10303,-58
10354,88
10425,-85
10466,25
10504,-43
10552,16
10603,-104
10653,-77
10703,-65
10753,43
10802,-25
10853,70
10902,5
10952,-80
11001,107
11056,-77
11103,20
11152,-17
11201,12
11253,-58
11302,122
11352,-92
11436,65
11453,-43
11502,71
11554,-39
11607,137
11666,-70
11703,-58
11753,34
11802,-38
11853,1
11901,159
11954,-60
12002,17
12052,60
12102,-43
12159,40
12202,-21
12252,115
12302,-65
12354,98
12402,2
12459,-29
12502,15
12552,-64
12603,-66
12653,-128
12702,15
12752,-118
12803,5
12852,-59
12903,112
12952,-83
13004,30
13052,-15
13102,-11
13153,70
13202,-27
13252,-70
13302,-162
13352,46
13403,-59
13461,65
13502,-54
13552,114
13604,-57
13653,3
13702,4
13753,1
13803,64
13853,-56
13903,-70
13954,-113
14002,25
14053,-75
14102,74
14153,-57
14203,112
14253,-68
14303,12
14354,-50
14402,21
14462,0
14503,45
14553,-64
14603,75
14652,-2
14702,125
14753,52
14803,-68
14854,152
14902,-66
14952,59
15003,-21
15052,1
15103,90
15152,-102
15202,-59
15252,158
15302,1
15352,-1
15402,68
15452,-25
15528,21
15553,-106
15602,-5
15652,14
15702,-4
15753,31
15802,-74
15852,-55
15903,-24
15952,13
16003,-35
16053,71
16102,-24
16153,-137
16202,-167
16253,153
16303,14
16353,-21
16402,16
16453,-53
16507,-62
16552,168
16602,14
16652,-26
16702,74
16752,-34
16802,82
16852,-75
16902,82
16953,12
17003,-12
17052,51
17105,-66
17152,-164
17202,-54
17252,-8
17302,-6
17352,59
17402,-19
17453,70
17510,-56
17552,69
17602,8
17653,12
17702,46
17753,-19
17802,-26
17853,-65
17902,120
17955,-4
18003,86
18053,6
18103,-154
18153,-86
18202,70
18253,-3
18302,7
18353,38
18402,-18
18453,-24
18512,-59
18553,-5
18603,-5
18652,-21
18703,-26
18752,86
18803,-39
18852,86
18903,-7
18953,23
19003,-15
19053,54
19104,-64
19154,-25
19204,-17
19252,-2
19302,79
19352,-7
19402,-20
19453,-132
19510,110
19552,13
19602,27
19653,-7
19702,52
19752,-79
19802,-24
19853,0
19902,-1
19952,100
20002,14
20053,88
20102,-50
20152,70
20203,2
20252,87
20302,-6
20351,-32
20402,-61
20453,-26
20510,18
20554,28
20602,61
20652,20
20702,-140
20752,-63
20802,-12
20852,21
20902,54
20952,18
21002,-12
21053,-61
21102,-66
21152,57
21202,-8
21254,112
21302,36
21352,-51
21402,158
21452,-151
21517,75
21552,16
21602,55
21653,22
21702,-54
21752,90
21802,-95
21853,13
21902,16
21952,55
22003,-10
22052,33
22103,-56
22153,65
22202,-4
22253,14
22302,30
22355,-26
22402,-49
22452,-52
22502,0
22561,5
22603,41
22652,52
22702,-42
22752,-170
22802,-31
22852,2
22902,-2
22953,28
23002,19
23053,-80
23102,-62
23153,-18
23202,-11
23253,95
23302,42
23352,-17
23402,-89
23453,117
23502,-13
23563,-5
23602,21
23653,-35
23703,-102
23753,-49
23802,-26
23853,-5
23902,95
23953,5
24002,-94
24053,159
24102,-1
24152,-32
24203,1
24253,132
24302,-33
24352,74
24403,156
24452,-80
24503,-18
24553,-176
24610,-19
24653,-60
24702,180
24752,104
24803,-116
24854,-71
24903,-8
24954,-55
25003,103
25052,-82
25103,-95
25153,-48
25202,-132
25253,-50
25303,-61
25353,135
25403,125
25453,-122
25502,3
25553,-132
25612,-58
25652,-60
25702,-10
25752,6
25802,-49
25852,-158
25904,-69
25953,-92
26002,157
26053,146
26102,56
26154,-32
26202,-129
26252,-88
26302,-64
26353,8
26403,-33
26452,-24
26503,-58
26552,-135
26610,-91
26655,-59
26702,173
26753,139
26802,143
26853,-87
26902,-113
26953,-67
27002,48
27052,-97
27102,105
27153,-65
27202,-122
27252,-108
27303,-74
27352,170
27402,123
27452,141
27502,-98
27552,-114
27612,-63
27652,-96
27703,-31
27752,-75
27803,-58
27852,-85
27902,-97
27952,-108
28003,136
28052,-136
28103,100
28152,-35
28202,-119
28251,-78
28302,-63
28352,47
28402,-101
28453,77
28502,-67
28552,-143
28603,-109
28663,-44
28702,-133
28752,136
28803,-127
28852,-60
28903,-164
28952,-112
29003,-48
29052,-117
29105,-65
29152,-40
29202,-88
29256,-168
29302,-130
29353,-18
29402,-99
29454,144
29502,-84
29553,-126
29603,-152
29662,-102
29703,92
29752,-116
29803,37
29852,-54
29903,-156
29953,-152
30002,-96
30053,-118
30102,164
30153,74
30203,-37
30253,-147
30302,-121
30353,-86
30402,-175
30453,-101
30503,-132
30552,-59
30602,-164
30664,-126
30703,-48
30752,139
30802,-142
30854,105
30903,-96
30952,-158
31003,-127
31053,-102
31102,-134
31153,-85
31203,-60
31252,-127
31302,-152
31352,-124
31402,-178
31452,-172
31502,90
31553,-109
31603,-156
31667,-176
31702,-117
31753,-125
31802,-100
31852,-138
31902,-84
31952,-168
32002,-151
32052,-81
32103,177
32152,100
32203,-148
32251,-139
32304,-162
32353,-140
32402,-92
32452,176
32503,-103
32553,-60
32603,-161
32653,-164
32713,-63
32752,93
32802,-169
32853,98
32903,-21
32952,-145
33002,160
33053,-75
33104,-163
33153,-90
33202,-92
33253,-44
33302,170
33355,-91
33402,112
33453,172
33503,-134
33553,-179
33603,96
33653,-161
33712,-107
33752,-92
33802,-101
33853,-166
33903,-60
33953,-158
34002,-161
34053,-71
34103,147
34153,159
34203,122
34253,-62
34302,180
34353,-28
34403,-96
34453,-129
34503,-109
34552,-104
34602,-82
34654,165
34719,-137
34754,-83
34802,-166
34853,133
34903,-27
34953,-156
35003,-166
35053,-131
35102,-153
35153,-111
35203,132
35252,-73
35302,-167
35353,-166
35402,-85
35453,152
35503,-133
35553,134
35602,-107
35653,161
35703,-136
35762,169
35802,-146
35853,-101
35903,-66
35952,-122
