time,USER,SYSTEM,IOW,IRQ
435,-1,-1,-1,-1
1411,-1,-1,-1,-1
2407,-1,-1,-1,-1
3415,-1,-1,-1,-1
4424,-1,-1,-1,-1
5411,-1,-1,-1,-1
6452,-1,-1,-1,-1
7412,-1,-1,-1,-1
8415,-1,-1,-1,-1
9439,-1,-1,-1,-1
10427,-1,-1,-1,-1
11440,-1,-1,-1,-1
12459,-1,-1,-1,-1
13463,-1,-1,-1,-1
14463,-1,-1,-1,-1
15528,-1,-1,-1,-1
16508,-1,-1,-1,-1
17518,-1,-1,-1,-1
18513,-1,-1,-1,-1
19511,-1,-1,-1,-1
20511,-1,-1,-1,-1
21518,-1,-1,-1,-1
22562,-1,-1,-1,-1
23564,-1,-1,-1,-1
24616,-1,-1,-1,-1
25613,-1,-1,-1,-1
26611,-1,-1,-1,-1
27613,-1,-1,-1,-1
28663,-1,-1,-1,-1
29663,-1,-1,-1,-1
30666,-1,-1,-1,-1
31670,-1,-1,-1,-1
32714,-1,-1,-1,-1
33713,-1,-1,-1,-1
34720,-1,-1,-1,-1
35763,-1,-1,-1,-1
36768,-1,-1,-1,-1
37769,-1,-1,-1,-1
38763,-1,-1,-1,-1
39766,-1,-1,-1,-1
40818,-1,-1,-1,-1
41820,-1,-1,-1,-1
42873,-1,-1,-1,-1
43864,-1,-1,-1,-1
44866,-1,-1,-1,-1
45922,-1,-1,-1,-1
46913,-1,-1,-1,-1
47923,-1,-1,-1,-1
48968,-1,-1,-1,-1
50014,-1,-1,-1,-1
51059,-1,-1,-1,-1
52065,-1,-1,-1,-1
53069,-1,-1,-1,-1
54060,-1,-1,-1,-1
55068,-1,-1,-1,-1
56119,-1,-1,-1,-1
57128,-1,-1,-1,-1
58117,-1,-1,-1,-1
59119,-1,-1,-1,-1
60164,-1,-1,-1,-1
61166,-1,-1,-1,-1
