time,lx
2,1231.00000
55,1231.00000
102,1231.00000
153,1227.00000
202,1227.00000
256,1211.00000
305,1211.00000
353,1198.00000
434,1198.00000
453,1198.00000
503,1181.00000
552,1181.00000
602,1167.00000
653,1167.00000
702,1190.00000
756,1190.00000
805,1189.00000
853,1189.00000
903,1164.00000
954,1164.00000
1002,1164.00000
1053,1170.00000
1106,1170.00000
1153,1195.00000
1202,1195.00000
1253,1170.00000
1302,1170.00000
1353,1087.00000
1410,1087.00000
1460,1087.00000
1503,982.00000
1572,982.00000
1603,921.00000
1653,921.00000
1703,926.00000
1757,926.00000
1806,984.00000
1853,984.00000
1903,1126.00000
1954,1126.00000
2003,1203.00000
2056,1203.00000
2102,1203.00000
2153,1133.00000
2202,1133.00000
2254,946.00000
2304,946.00000
2352,893.00000
2407,893.00000
2453,808.00000
2502,808.00000
2553,808.00000
2602,829.00000
2652,829.00000
2702,899.00000
2753,899.00000
2803,926.00000
2853,926.00000
2903,947.00000
2952,947.00000
3004,913.00000
3052,913.00000
3103,913.00000
3153,783.00000
3202,783.00000
3254,321.00000
3302,321.00000
3353,334.00000
3415,334.00000
3453,334.00000
3502,334.00000
3553,405.00000
3602,491.00000
3652,491.00000
3702,491.00000
3753,541.00000
3802,393.00000
3852,393.00000
3902,393.00000
3960,393.00000
4002,232.00000
4053,232.00000
4109,232.00000
4166,232.00000
4297,232.00000
4298,232.00000
4332,232.00000
4356,232.00000
4423,232.00000
4457,289.00000
4504,278.00000
4555,247.00000
4603,247.00000
4655,247.00000
4702,304.00000
4752,304.00000
4802,309.00000
4852,309.00000
4902,309.00000
4953,309.00000
5002,309.00000
5052,232.00000
5108,232.00000
5154,232.00000
5204,232.00000
5254,232.00000
5302,139.00000
5352,139.00000
5410,139.00000
5453,139.00000
5502,139.00000
5552,139.00000
5602,143.00000
5654,143.00000
5702,105.00000
5752,105.00000
5806,105.00000
5853,105.00000
5903,105.00000
5952,71.00000
6003,44.00000
6060,44.00000
6103,66.00000
6157,66.00000
6258,66.00000
6270,66.00000
6303,66.00000
6401,66.00000
6452,66.00000
6454,66.00000
6502,66.00000
6553,64.00000
6602,64.00000
6652,54.00000
6702,60.00000
6753,60.00000
6803,64.00000
6852,64.00000
6902,66.00000
6952,66.00000
7002,66.00000
7052,57.00000
7102,57.00000
7156,57.00000
7202,60.00000
7261,60.00000
7304,60.00000
7352,61.00000
7412,61.00000
7452,62.00000
7506,62.00000
7555,60.00000
7602,60.00000
7652,60.00000
7702,65.00000
7753,65.00000
7802,74.00000
7853,74.00000
7902,75.00000
7952,75.00000
8003,71.00000
8053,71.00000
8103,73.00000
8152,73.00000
8202,73.00000
8252,79.00000
8302,79.00000
8352,74.00000
8413,74.00000
8454,70.00000
8503,70.00000
8552,71.00000
8602,71.00000
8652,71.00000
8702,70.00000
8753,70.00000
8802,74.00000
8852,74.00000
8903,73.00000
8952,73.00000
9002,70.00000
9054,70.00000
9102,70.00000
9153,70.00000
9202,70.00000
9256,73.00000
9305,73.00000
9354,69.00000
9423,69.00000
9454,70.00000
9503,70.00000
9556,67.00000
9602,67.00000
9653,60.00000
9702,60.00000
9751,60.00000
9801,61.00000
9852,61.00000
9904,57.00000
9952,57.00000
10002,56.00000
10052,56.00000
10103,61.00000
10152,61.00000
10203,61.00000
10252,56.00000
10303,56.00000
10354,57.00000
10423,57.00000
10466,62.00000
10504,62.00000
10552,61.00000
10603,61.00000
10653,61.00000
10703,61.00000
10753,61.00000
10802,67.00000
10853,67.00000
10902,62.00000
10951,62.00000
11001,62.00000
11056,62.00000
11103,65.00000
11152,65.00000
11201,65.00000
11253,62.00000
11302,62.00000
11352,67.00000
11436,67.00000
11452,66.00000
11502,66.00000
11554,67.00000
11607,67.00000
11666,73.00000
11703,73.00000
11753,73.00000
11802,71.00000
11853,71.00000
11901,65.00000
11954,65.00000
12002,70.00000
12052,70.00000
12102,66.00000
12159,66.00000
12202,66.00000
12252,65.00000
12302,65.00000
12353,67.00000
12401,67.00000
12459,67.00000
12501,67.00000
12552,66.00000
12603,66.00000
12653,71.00000
12702,71.00000
12752,71.00000
12802,67.00000
12852,67.00000
12903,65.00000
12952,65.00000
13003,73.00000
13052,73.00000
13102,66.00000
13152,66.00000
13202,69.00000
13252,69.00000
13302,69.00000
13352,69.00000
13403,69.00000
13461,70.00000
13502,70.00000
13552,75.00000
13604,75.00000
13653,77.00000
13702,77.00000
