time,x,y,z
2,22.90344,-11.95526,-50.94147
54,23.08197,-12.34283,-50.71869
102,21.82465,-13.39417,-49.68262
153,22.43195,-13.16681,-49.87335
202,21.02814,-14.22119,-50.62256
256,21.38367,-14.99634,-50.17548
305,23.51685,-15.48920,-49.19586
353,23.76709,-18.24799,-47.67609
429,23.76709,-18.24799,-47.67609
453,25.01373,-21.55151,-47.00775
503,24.22638,-20.20721,-45.46509
552,24.22638,-20.20721,-45.46509
602,24.14398,-18.23120,-46.99097
653,25.30975,-19.36035,-47.62421
702,25.28839,-19.95544,-47.63489
756,24.31335,-19.40918,-47.44873
805,24.64600,-20.97473,-47.23816
853,24.31793,-22.77374,-45.06073
903,24.74213,-22.35718,-45.47882
953,24.47510,-25.13733,-46.65070
1002,23.59467,-26.56555,-45.38116
1053,18.97583,-28.95966,-46.30280
1106,16.82434,-28.46832,-46.61713
1153,7.66602,-31.27594,-48.64502
1202,1.38397,-30.78156,-50.03815
1253,-1.54266,-28.94440,-49.25232
1302,-5.00336,-27.92053,-51.61743
1353,-8.36029,-26.69678,-50.41656
1410,-10.90546,-26.81732,-51.64795
1460,-10.06622,-24.80011,-50.68512
1503,-8.81958,-23.35663,-50.82550
1572,-10.01282,-24.40033,-52.00958
1603,-10.04028,-24.99542,-51.79901
1653,-8.12836,-26.09253,-50.84076
1703,-3.46222,-27.84882,-49.98779
1757,2.70081,-27.55432,-50.36621
1806,4.96216,-29.62341,-48.96240
1853,8.63342,-30.63812,-47.03217
1903,10.65216,-34.10339,-45.88776
1954,10.88562,-33.10394,-45.85876
2003,8.94318,-36.16486,-44.22302
2056,6.96411,-37.24670,-45.66650
2102,1.89819,-38.08594,-42.80243
2153,0.01068,-37.18414,-44.87610
2202,0.90790,-31.59790,-48.29559
2254,0.67902,-25.07629,-52.63977
2304,-3.19824,-19.52209,-55.39093
2352,-0.33875,-21.95740,-54.63409
2406,6.08063,-23.23761,-52.13623
2453,9.57031,-24.85199,-51.55792
2502,9.43146,-27.82593,-50.50507
2553,5.41077,-29.20532,-50.26855
2602,4.78058,-30.22461,-50.31586
2652,4.75769,-29.43726,-48.52448
2702,3.99933,-32.04651,-46.15936
2753,2.86255,-31.90155,-47.76459
2803,5.41840,-29.00696,-50.26550
2853,5.97687,-30.16663,-50.48218
2903,4.96216,-32.79266,-46.12732
2952,10.81696,-39.25018,-37.51984
3004,18.95599,-43.42194,-29.65546
3052,26.33362,-44.47021,-18.88275
3103,32.80334,-42.59644,-7.21283
3153,40.83710,-34.52148,6.19354
3202,48.55499,-25.65613,10.92834
3254,48.48022,-20.12634,13.68866
3302,49.77264,-18.08472,12.67090
3353,51.44653,-18.39600,9.18579
3414,50.18005,-20.43457,9.31396
3453,50.18005,-20.43457,9.31396
3502,50.18005,-20.43457,9.31396
3553,41.01257,-35.10590,6.19202
3602,36.23962,-41.26587,5.86548
3652,36.23962,-41.26587,5.86548
3702,36.40900,-40.27252,8.11310
3753,43.81104,-28.86200,20.21484
3802,45.53070,-19.09180,21.12885
3852,50.23804,-5.41687,19.58160
3902,50.23804,-5.41687,19.58160
3960,50.23804,-5.41687,19.58160
4002,46.95129,5.69305,24.06921
4053,46.95129,5.69305,24.06921
4109,46.95129,5.69305,24.06921
4166,46.95129,5.69305,24.06921
4297,46.95129,5.69305,24.06921
4298,46.95129,5.69305,24.06921
4332,46.95129,5.69305,24.06921
4356,46.95129,5.69305,24.06921
4423,46.95129,5.69305,24.06921
4456,35.41870,-40.32898,14.95972
4504,37.38708,-42.19971,6.12488
4555,34.94110,-44.68842,5.30090
4603,34.65881,-45.28809,0.60883
4655,32.56073,-45.58105,-2.60620
4702,30.77240,-46.85211,-4.04510
4752,28.71857,-49.12415,-4.40063
4802,26.73340,-50.00916,-5.39703
4852,24.53308,-50.31128,-5.05981
4902,24.53308,-50.31128,-5.05981
4953,24.53308,-50.31128,-5.05981
5002,24.53308,-50.31128,-5.05981
5052,35.78796,-45.88165,1.33362
5108,35.87494,-46.47522,4.44031
5154,35.87494,-46.47522,4.44031
5204,35.87494,-46.47522,4.44031
5254,35.87494,-46.47522,4.44031
5302,31.47888,-47.67456,4.21753
5352,31.47888,-47.67456,4.21753
5410,31.47888,-47.67456,4.21753
5453,31.47888,-47.67456,4.21753
5502,31.47888,-47.67456,4.21753
5552,31.47888,-47.67456,4.21753
5602,25.83771,-50.10834,-2.53296
5654,29.14581,-49.36218,0.52185
5702,28.98254,-50.15717,-1.72272
5752,28.98254,-50.15717,-1.72272
5806,28.98254,-50.15717,-1.72272
5853,28.98254,-50.15717,-1.72272
5903,28.98254,-50.15717,-1.72272
