time,available,total
435,1126506496,3923107840
1411,1134092288,3923107840
2407,1129156608,3923107840
3417,1134391296,3923107840
4424,1132773376,3923107840
5411,1116168192,3923107840
6453,1109762048,3923107840
7412,1095139328,3923107840
8415,1088061440,3923107840
9439,1084477440,3923107840
10428,1074479104,3923107840
11441,1102536704,3923107840
12459,1089605632,3923107840
13463,1094541312,3923107840
14463,1092087808,3923107840
15528,1091723264,3923107840
16508,1089146880,3923107840
17518,1088458752,3923107840
18513,1087115264,3923107840
19511,1086767104,3923107840
20511,1085214720,3923107840
21519,1088499712,3923107840
22562,1088884736,3923107840
23564,1088454656,3923107840
24616,1088397312,3923107840
25614,1087459328,3923107840
26611,1086906368,3923107840
27613,1090269184,3923107840
28663,1090494464,3923107840
29663,1089576960,3923107840
30666,1089646592,3923107840
31671,1089105920,3923107840
32714,1088167936,3923107840
33713,1088389120,3923107840
34720,1087455232,3923107840
35763,1087537152,3923107840
36768,1087619072,3923107840
37769,1088483328,3923107840
38764,1088229376,3923107840
39767,1087594496,3923107840
40818,1087082496,3923107840
41820,1087029248,3923107840
42873,1086816256,3923107840
43864,1087279104,3923107840
44866,1086873600,3923107840
45923,1086783488,3923107840
46913,1085628416,3923107840
47923,1088675840,3923107840
48968,1088004096,3923107840
50014,1086959616,3923107840
51059,1086689280,3923107840
52065,1083789312,3923107840
53070,1084350464,3923107840
54060,1082904576,3923107840
55069,1081782272,3923107840
56121,1092329472,3923107840
57128,1091981312,3923107840
58117,1091588096,3923107840
59119,1079447552,3923107840
60164,1066287104,3923107840
61166,1070493696,3923107840
