time,dB(SPL)
2,51.41086
53,70.37554
102,70.76645
152,67.54248
202,54.33675
255,56.25827
304,57.96353
353,55.86183
429,55.08697
453,79.80056
502,78.08674
552,78.29744
602,76.34866
653,71.77440
702,59.73543
756,55.73503
805,65.18710
853,65.33874
902,59.11376
953,69.40527
1002,71.16217
1053,60.46505
1106,59.01703
1153,65.28218
1202,64.28628
1253,64.20102
1302,77.29971
1353,76.05547
1410,75.09766
1458,79.07519
1502,74.24626
1572,63.86249
1603,82.45938
1652,76.32615
1703,72.85720
1757,81.75776
1806,82.60603
1852,77.49427
1903,76.59251
1954,77.24501
2003,82.89522
2056,83.95663
2102,82.01499
2153,76.90816
2202,76.52409
2254,75.83942
2304,72.42145
2352,76.51371
2406,78.50934
2453,83.59735
2502,77.82517
2553,81.54954
2602,88.18649
2652,88.43866
2702,88.06035
2753,86.73880
2802,67.81164
2853,86.68626
2903,86.74159
2952,88.24686
3004,69.11516
3052,78.26886
3103,76.76438
3153,74.97771
3202,86.74119
3254,81.40741
3302,85.67507
3352,86.93762
3414,88.33813
3452,88.32415
3501,88.26633
3553,88.29679
3601,88.27304
3652,88.30448
3702,74.69920
3753,78.08565
3802,88.23307
3852,88.28643
3902,82.21314
3960,80.03986
4002,86.26257
4053,88.28308
4109,82.29155
4166,88.21925
4297,88.37365
4298,88.22060
4332,84.99668
4356,76.06231
4423,70.03214
4456,69.69738
4504,77.12007
4554,84.93686
4603,75.72367
4655,72.98670
4702,77.18036
4752,82.82837
4802,79.30309
4852,88.25727
4902,84.14838
4953,80.38648
5001,77.28903
5052,74.79303
5108,88.20913
5154,87.86940
5204,84.95259
5254,81.63846
5302,82.20034
5352,86.78107
5410,88.36768
5453,82.75025
5502,80.75251
5552,83.88918
5602,84.51962
5654,84.12896
5702,81.39114
5752,74.34175
5806,80.45928
5853,79.37713
5903,80.86567
5952,88.33780
6002,88.03283
6060,75.54273
6103,85.57690
6157,84.21012
6255,84.55208
6270,83.14974
6303,83.87751
6400,87.07294
6452,86.04792
6454,85.36828
6502,88.25123
6553,88.31048
6602,88.24282
6652,82.72870
6702,84.77848
6753,88.26600
6803,88.19122
6852,88.30848
6902,88.34146
6952,85.65969
7002,78.61694
7052,86.57941
7102,83.45789
7155,85.62112
7202,85.68861
7253,86.98633
7303,88.29713
7352,88.36868
7412,86.45389
7452,77.21514
7506,72.47532
7552,72.03903
7602,74.24457
7652,75.77326
7702,73.26648
7753,78.95553
7802,80.32562
7852,81.96387
7902,77.72417
7952,72.84929
8003,77.99422
8053,80.44939
8102,77.22710
8151,88.28576
8202,88.23610
8252,78.24444
8302,78.77140
8352,79.30215
8411,78.23167
8454,80.74056
8503,88.23138
8552,86.68183
8602,83.09760
8652,81.00373
8702,87.52424
8753,88.52665
8802,88.38060
8852,85.52510
8902,85.06385
8952,82.46919
9002,88.25089
9054,88.35475
9102,76.70747
9153,88.32482
9202,88.33980
9256,84.24269
9305,75.07779
9354,78.85107
9423,76.90816
9454,83.70461
9503,79.65176
9556,87.58357
9602,74.38828
9653,77.09341
9702,72.16196
9751,84.85431
9801,76.92922
9852,83.68701
9904,69.47558
9952,80.92678
10002,86.65886
10052,80.52740
10103,75.64515
10152,84.18172
10203,80.16093
10252,76.60792
10302,74.75021
10354,79.91183
10423,80.77876
10463,83.50850
10504,86.68143
10552,74.97306
10603,77.27835
10652,86.40500
10703,80.30803
10753,76.41585
10802,81.59014
10853,77.07153
10901,71.40852
10951,75.51949
11001,76.25292
11055,73.78795
11103,71.67078
11152,79.69505
11201,85.08903
11253,78.02699
11302,68.74867
11352,76.33940
11435,81.31533
11452,83.56515
11502,75.34312
11554,76.58865
11607,72.03903
11665,68.01421
11703,62.66439
11753,82.22122
11802,74.01234
11852,72.31690
11901,80.81995
11954,82.97575
12002,80.74614
12052,78.03026
12102,81.65355
12159,75.13424
12202,77.78267
12252,85.97488
12302,73.45673
12353,73.01586
12401,88.19359
12459,88.38986
12501,88.29846
12552,79.36686
12603,83.61169
12653,85.73497
12702,80.79780
12752,85.62703
12802,84.63296
12852,80.66365
12903,81.29066
12952,87.44056
13003,81.09686
13052,88.22835
13101,86.80492
13151,88.29947
13201,87.14993
13252,85.61475
13302,87.36462
13352,85.02449
13403,85.51175
13461,84.73175
13502,87.78545
13552,88.25324
13604,81.80516
13653,81.64278
13702,88.45377
13753,88.28241
13803,86.19345
13853,88.25089
13903,87.02201
13953,81.32204
14002,79.74886
14053,81.53135
14102,79.85372
14153,85.80470
14202,87.66014
14253,85.17610
14303,76.48642
14352,78.72625
14402,80.84678
14462,87.56578
14503,88.35574
14553,88.32349
14602,84.49014
14652,86.36669
14702,85.12666
14753,88.17429
14802,82.67333
14853,85.83137
14902,86.25624
14952,88.32515
15003,88.41792
15052,88.29613
15102,86.42036
15152,86.96181
15202,88.30648
15252,88.28542
15302,88.20069
15352,88.27505
15402,88.16751
15452,88.24114
15528,88.30314
15553,88.30481
15602,88.30948
15651,88.35773
15702,86.61801
15753,88.21183
15802,88.27940
15852,88.27773
15902,86.97388
15952,88.24619
16003,88.20373
16052,83.89584
16102,88.22128
16153,88.29813
16202,88.33181
16253,88.40143
16302,88.25358
16352,88.32449
16402,88.34079
16453,88.13897
16506,87.70247
16552,84.25014
16602,88.28442
16652,86.85122
16702,88.29011
16751,88.32515
16801,88.31449
16852,88.30147
16902,88.27371
16952,88.37431
17002,88.32415
17052,88.30948
17105,88.41924
17152,88.33481
17202,88.36934
17252,88.34445
17302,82.95291
17352,88.30748
17402,88.30014
17453,88.29111
17509,88.26633
17552,88.48194
17602,88.29512
17652,88.32782
17702,88.35508
17752,88.31082
17802,88.26868
17852,88.30047
17902,85.73856
17954,82.29489
18003,84.60949
18053,88.29746
18102,88.26298
18152,88.31382
18202,88.27404
18253,88.29913
18302,88.31682
18353,88.31415
18402,88.26231
18452,88.28910
18512,88.30915
18553,81.55027
18602,78.72625
18652,88.23542
