time,steps
435,7138
6452,7150
7412,7153
8415,7156
9439,7157
10427,7160
11437,7164
12459,7167
13462,7170
14463,7173
15528,7176
16507,7179
17517,7182
18512,7185
19511,7188
20511,7191
21518,7194
22562,7197
23563,7200
24616,7207
25613,7210
26611,7213
27613,7216
28663,7219
29663,7222
30665,7225
31668,7227
32714,7230
33713,7233
34720,7236
35763,7239
36768,7242
37769,7245
38763,7248
39766,7251
40818,7254
41819,7257
42869,7260
43864,7263
44866,7266
45922,7269
46913,7272
47923,7275
48967,7278
50012,7281
51059,7284
52065,7287
53069,7290
54060,7293
55068,7296
56119,7299
57127,7302
58117,7305
59119,7307
60164,7309
61166,7310
